Bandit,Reward,Algorithm
3,1.558575639946513,Thompson Sampling
3,4.409438343114936,Thompson Sampling
3,4.5065652988876055,Thompson Sampling
3,4.072253835590469,Thompson Sampling
3,3.556203152518812,Thompson Sampling
3,4.53729558174718,Thompson Sampling
3,4.13232253455113,Thompson Sampling
3,4.441348130894824,Thompson Sampling
3,3.52915268465497,Thompson Sampling
3,4.004614066291101,Thompson Sampling
3,3.4451436737470047,Thompson Sampling
3,3.6338099410206697,Thompson Sampling
3,2.343422858868988,Thompson Sampling
3,5.679246819610431,Thompson Sampling
3,4.839622733394751,Thompson Sampling
3,6.278259258562583,Thompson Sampling
3,3.798055648021246,Thompson Sampling
3,3.4039994642856346,Thompson Sampling
3,4.7664853970122145,Thompson Sampling
3,3.3765566427195717,Thompson Sampling
